[2023-01-17 00:38:44.0] DEBUG: Hot Reload IDE Extension Loaded
[2023-01-17 00:40:08.2] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 00:40:08.2] INFO: (MauiApp69) WinUI hot reload is in progress.
[2023-01-17 00:40:08.7] DEBUG: Hot Reload: Initialized Agent for Microsoft.Maui.
[2023-01-17 00:54:12.9] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 00:54:12.9] INFO: (MauiApp69) WinUI hot reload is in progress.
[2023-01-17 00:54:13.4] DEBUG: Hot Reload: Initialized Agent for Microsoft.Maui.
[2023-01-17 00:54:57.3] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 00:54:57.3] INFO: (MauiApp69) WinUI hot reload is in progress.
[2023-01-17 00:54:58.0] DEBUG: Hot Reload: Initialized Agent for Microsoft.Maui.
[2023-01-17 00:55:43.0] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 00:55:43.0] INFO: (MauiApp69) WinUI hot reload is in progress.
[2023-01-17 00:55:43.9] DEBUG: Hot Reload: Initialized Agent for Microsoft.Maui.
[2023-01-17 01:06:29.8] INFO: Stopping All Hot Reload sessions due to Cleanup ...
[2023-01-17 01:13:06.9] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 01:13:07.0] DEBUG: (MauiApp69) HotReloadSharedBridge: Added Project
[2023-01-17 01:13:07.1] INFO: (MauiApp69) Starting Hot Reload session...
[2023-01-17 01:13:07.1] DEBUG: (MauiApp69) Breakpoint - MauiApp69.Program.Main
[2023-01-17 01:13:07.1] DEBUG: (MauiApp69) New Breakpoint
[2023-01-17 01:13:17.2] INFO: (MauiApp69) Stopping a Hot Reload session due to ExplicitlyEnded ...
[2023-01-17 01:13:17.2] DEBUG: (MauiApp69) HotReloadSharedBridge: Removed Project
[2023-01-17 01:13:17.2] INFO: Stopped Hot Reload session.
[2023-01-17 01:15:41.1] INFO: (MauiApp69) .NET 6 Project references .NET MAUI.
[2023-01-17 01:15:41.1] DEBUG: (MauiApp69) HotReloadSharedBridge: Added Project
[2023-01-17 01:15:41.1] INFO: (MauiApp69) Starting Hot Reload session...
[2023-01-17 01:15:41.1] DEBUG: (MauiApp69) Breakpoint - MauiApp69.Program.Main
[2023-01-17 01:15:41.1] DEBUG: (MauiApp69) New Breakpoint
[2023-01-17 01:15:54.0] DEBUG: (MauiApp69) MauiApp69.Program.Main entryBreakpoint
[2023-01-17 01:15:54.0] DEBUG: (MauiApp69) Initializing HotReload Agent...
[2023-01-17 01:15:54.0] INFO: XAML Hot Reload initializing...
[2023-01-17 01:15:54.0] DEBUG: (MauiApp69) Injecting Assembly (47008 bytes)...
[2023-01-17 01:15:54.1] DEBUG: (MauiApp69) Unknown Breakpoint Hit: MauiApp69.Program.Main(string[] args)
[2023-01-17 01:15:54.2] DEBUG: (MauiApp69) Injected Assembly (47008 bytes).
[2023-01-17 01:15:54.2] DEBUG: (MauiApp69) Injecting Assembly (40352 bytes)...
[2023-01-17 01:15:54.2] DEBUG: (MauiApp69) Injected Assembly (40352 bytes).
[2023-01-17 01:15:54.2] DEBUG: (MauiApp69) Injecting Assembly (221584 bytes)...
[2023-01-17 01:15:54.4] DEBUG: (MauiApp69) Injected Assembly (221584 bytes).
[2023-01-17 01:15:54.4] DEBUG: (MauiApp69) Injecting Assembly (50576 bytes)...
[2023-01-17 01:15:54.4] DEBUG: (MauiApp69) Injected Assembly (50576 bytes).
[2023-01-17 01:15:54.4] DEBUG: (MauiApp69) Injecting Assembly (86416 bytes)...
[2023-01-17 01:15:54.5] DEBUG: (MauiApp69) Injected Assembly (86416 bytes).
[2023-01-17 01:15:55.1] DEBUG: (MauiApp69) Breakpoint - Xamarin.HotReload.HotReloadAgent.BreakpointSendToIde
[2023-01-17 01:15:55.1] DEBUG: (MauiApp69) New Breakpoint
[2023-01-17 01:15:55.4] DEBUG: (MauiApp69) Initialized HotReload Agent.
[2023-01-17 01:15:55.4] DEBUG: (MauiApp69) Breakpoint - Xamarin.HotReload.HotReloadAgent.BreakpointCheckpoint
[2023-01-17 01:15:55.4] DEBUG: (MauiApp69) New Breakpoint
[2023-01-17 01:16:00.6] DEBUG: (MauiApp69) Xamarin.HotReload.HotReloadAgent.BreakpointSendToIde messageReceivedBreakpoint
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Private.CoreLib, Version=7.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Private.CoreLib, Version=7.0.0.0, Culture=neutral, PublicKeyToken=7cec85d7bea7798e
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: Microsoft.iOS, Version=16.1.0.0, Culture=neutral, PublicKeyToken=84e04ff9cfb79065
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: Microsoft.iOS, Version=16.1.0.0, Culture=neutral, PublicKeyToken=84e04ff9cfb79065
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Runtime, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Runtime, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Collections, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Collections, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Runtime.InteropServices, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Runtime.InteropServices, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Threading.Thread, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Threading.Thread, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.Threading, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.Threading, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: MauiApp69, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: MauiApp69, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: Microsoft.Maui.Controls, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: Microsoft.Maui.Controls, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: System.ObjectModel, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: System.ObjectModel, Version=7.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: Microsoft.Maui, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) No HotReload Agent Attribute found on Assembly: Microsoft.Maui, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
[2023-01-17 01:16:00.8] DEBUG: (MauiApp69) (HotReloadAgent) Inspecting: Microsoft.Maui.Controls.Xaml, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
